Total in C0 1790927 
Total in C1 3404438 
Total in C2 2407685
C_0	C_1	C_2
3620	1916	2683
3621	1917	2688
3632	1918	2690
3635	1920	2694
3636	1921	2695
3637	1927	2703
3639	1929	2707
3641	1930	2711
3653	1932	2717
3656	1935	2720
3657	1937	2722
3659	1938	2725
3660	1942	2726
3661	1943	2729
3664	1944	2730
3670	1945	2731
3672	1946	2733
3679	1947	2737
3686	1948	2740
3691	1949	2743
3692	1953	2753
3701	1955	2754
3702	1956	2755
3703	1958	2756
3706	1960	2757
3713	1963	2763
3721	1964	2765
3722	1965	2772
3723	1967	2776
3728	1968	2778
3729	1969	2779
3732	1973	2782
3735	1979	2786
3746	1984	2791
3752	1988	2795
3754	1992	2797
3758	1993	2805
3759	1998	2817
3776	1999	2820
3778	2002	2824
3780	2007	2825
3781	2008	2826
3782	2010	2828
3786	2012	2829
3799	2014	2832
3806	2017	2839
3809	2019	2844
3816	2020	2845
3818	2023	2847
3821	2024	2852
3826	2025	2853
3832	2031	2868
3833	2032	2870
3835	2033	2872
3839	2034	2881
3842	2035	2885
3856	2036	2886
3861	2038	2889
3867	2039	2893
3869	2044	2894
3870	2046	2903
3872	2051	2905
3873	2054	2907
3876	2057	2909
3884	2058	2910
3888	2059	2918
3898	2061	2920
